,location,total_cases,date
0,Africa,0.0,2020-01-05
1,Africa,0.0,2020-01-06
2,Africa,0.0,2020-01-07
3,Africa,0.0,2020-01-08
4,Africa,0.0,2020-01-09
5,Africa,0.0,2020-01-10
6,Africa,0.0,2020-01-11
7,Africa,0.0,2020-01-12
8,Africa,0.0,2020-01-13
9,Africa,0.0,2020-01-14
10,Africa,0.0,2020-01-15
11,Africa,0.0,2020-01-16
12,Africa,0.0,2020-01-17
13,Africa,0.0,2020-01-18
14,Africa,0.0,2020-01-19
15,Africa,0.0,2020-01-20
16,Africa,0.0,2020-01-21
17,Africa,0.0,2020-01-22
18,Africa,0.0,2020-01-23
19,Africa,0.0,2020-01-24
20,Africa,0.0,2020-01-25
21,Africa,0.0,2020-01-26
22,Africa,0.0,2020-01-27
23,Africa,0.0,2020-01-28
24,Africa,0.0,2020-01-29
25,Africa,0.0,2020-01-30
26,Africa,0.0,2020-01-31
27,Africa,0.0,2020-02-01
28,Africa,0.0,2020-02-02
29,Africa,0.0,2020-02-03
30,Africa,0.0,2020-02-04
31,Africa,0.0,2020-02-05
32,Africa,0.0,2020-02-06
33,Africa,0.0,2020-02-07
34,Africa,0.0,2020-02-08
35,Africa,0.0,2020-02-09
36,Africa,0.0,2020-02-10
37,Africa,0.0,2020-02-11
38,Africa,0.0,2020-02-12
39,Africa,0.0,2020-02-13
40,Africa,0.0,2020-02-14
41,Africa,0.0,2020-02-15
42,Africa,1.0,2020-02-16
43,Africa,1.0,2020-02-17
44,Africa,1.0,2020-02-18
45,Africa,1.0,2020-02-19
46,Africa,1.0,2020-02-20
47,Africa,1.0,2020-02-21
48,Africa,1.0,2020-02-22
49,Africa,1.0,2020-02-23
50,Africa,1.0,2020-02-24
51,Africa,1.0,2020-02-25
52,Africa,1.0,2020-02-26
53,Africa,1.0,2020-02-27
54,Africa,1.0,2020-02-28
55,Africa,1.0,2020-02-29
56,Africa,3.0,2020-03-01
57,Africa,3.0,2020-03-02
58,Africa,3.0,2020-03-03
59,Africa,3.0,2020-03-04
60,Africa,3.0,2020-03-05
61,Africa,3.0,2020-03-06
62,Africa,3.0,2020-03-07
63,Africa,80.0,2020-03-08
64,Africa,80.0,2020-03-09
65,Africa,80.0,2020-03-10
66,Africa,80.0,2020-03-11
67,Africa,80.0,2020-03-12
68,Africa,80.0,2020-03-13
69,Africa,80.0,2020-03-14
70,Africa,314.0,2020-03-15
71,Africa,314.0,2020-03-16
72,Africa,314.0,2020-03-17
73,Africa,314.0,2020-03-18
74,Africa,314.0,2020-03-19
75,Africa,314.0,2020-03-20
76,Africa,314.0,2020-03-21
77,Africa,1337.0,2020-03-22
78,Africa,1337.0,2020-03-23
79,Africa,1337.0,2020-03-24
80,Africa,1337.0,2020-03-25
81,Africa,1337.0,2020-03-26
82,Africa,1337.0,2020-03-27
83,Africa,1337.0,2020-03-28
84,Africa,4566.0,2020-03-29
85,Africa,4566.0,2020-03-30
86,Africa,4566.0,2020-03-31
87,Africa,4566.0,2020-04-01
88,Africa,4566.0,2020-04-02
89,Africa,4566.0,2020-04-03
90,Africa,4566.0,2020-04-04
91,Africa,9249.0,2020-04-05
92,Africa,9249.0,2020-04-06
93,Africa,9249.0,2020-04-07
94,Africa,9249.0,2020-04-08
95,Africa,9249.0,2020-04-09
96,Africa,9249.0,2020-04-10
97,Africa,9249.0,2020-04-11
98,Africa,14590.0,2020-04-12
99,Africa,14590.0,2020-04-13
100,Africa,14590.0,2020-04-14
101,Africa,14590.0,2020-04-15
102,Africa,14590.0,2020-04-16
103,Africa,14590.0,2020-04-17
104,Africa,14590.0,2020-04-18
105,Africa,21829.0,2020-04-19
106,Africa,21829.0,2020-04-20
107,Africa,21829.0,2020-04-21
108,Africa,21829.0,2020-04-22
109,Africa,21829.0,2020-04-23
110,Africa,21829.0,2020-04-24
111,Africa,21829.0,2020-04-25
112,Africa,31322.0,2020-04-26
113,Africa,31322.0,2020-04-27
114,Africa,31322.0,2020-04-28
115,Africa,31322.0,2020-04-29
116,Africa,31322.0,2020-04-30
117,Africa,31322.0,2020-05-01
118,Africa,31322.0,2020-05-02
119,Africa,44003.0,2020-05-03
120,Africa,44003.0,2020-05-04
121,Africa,44003.0,2020-05-05
122,Africa,44003.0,2020-05-06
123,Africa,44003.0,2020-05-07
124,Africa,44003.0,2020-05-08
125,Africa,44003.0,2020-05-09
126,Africa,62086.0,2020-05-10
127,Africa,62086.0,2020-05-11
128,Africa,62086.0,2020-05-12
129,Africa,62086.0,2020-05-13
130,Africa,62086.0,2020-05-14
131,Africa,62086.0,2020-05-15
132,Africa,62086.0,2020-05-16
133,Africa,83378.0,2020-05-17
