location,total_deaths,date,year,month,day
Africa,0,13/2/20,2020,2,13
Africa,0,14/2/20,2020,2,14
Africa,0,15/2/20,2020,2,15
Africa,0,16/2/20,2020,2,16
Africa,0,17/2/20,2020,2,17
Africa,0,18/2/20,2020,2,18
Africa,0,19/2/20,2020,2,19
Africa,0,20/2/20,2020,2,20
Africa,0,21/2/20,2020,2,21
Africa,0,22/2/20,2020,2,22
Africa,0,23/2/20,2020,2,23
Africa,0,24/2/20,2020,2,24
Africa,0,25/2/20,2020,2,25
Africa,0,26/2/20,2020,2,26
Africa,0,27/2/20,2020,2,27
Africa,0,28/2/20,2020,2,28
Africa,0,29/2/20,2020,2,29
Africa,0,1/3/20,2020,3,1
Africa,0,2/3/20,2020,3,2
Africa,0,3/3/20,2020,3,3
Africa,0,4/3/20,2020,3,4
Africa,0,5/3/20,2020,3,5
Africa,0,6/3/20,2020,3,6
Africa,0,7/3/20,2020,3,7
Africa,10,8/3/20,2020,3,8
Africa,10,9/3/20,2020,3,9
Africa,20,10/3/20,2020,3,10
Africa,20,11/3/20,2020,3,11
Africa,30,12/3/20,2020,3,12
Africa,60,13/3/20,2020,3,13
Africa,70,14/3/20,2020,3,14
Africa,80,15/3/20,2020,3,15
Africa,80,16/3/20,2020,3,16
Africa,110,17/3/20,2020,3,17
Africa,170,18/3/20,2020,3,18
Africa,200,19/3/20,2020,3,19
Africa,260,20/3/20,2020,3,20
Africa,350,21/3/20,2020,3,21
Africa,460,22/3/20,2020,3,22
Africa,550,23/3/20,2020,3,23
Africa,620,24/3/20,2020,3,24
Africa,730,25/3/20,2020,3,25
Africa,910,26/3/20,2020,3,26
Africa,1150,27/3/20,2020,3,27
Africa,1340,28/3/20,2020,3,28
Africa,1510,29/3/20,2020,3,29
Africa,1720,30/3/20,2020,3,30
Africa,1980,31/3/20,2020,3,31
Africa,2330,1/4/20,2020,4,1
Africa,2850,2/4/20,2020,4,2
Africa,3310,3/4/20,2020,4,3
Africa,3820,4/4/20,2020,4,4
Africa,4420,5/4/20,2020,4,5
Africa,4870,6/4/20,2020,4,6
Africa,5330,7/4/20,2020,4,7
Africa,5730,8/4/20,2020,4,8
Africa,6270,9/4/20,2020,4,9
Africa,6900,10/4/20,2020,4,10
Africa,7420,11/4/20,2020,4,11
Africa,7880,12/4/20,2020,4,12
Africa,8330,13/4/20,2020,4,13
Africa,8730,14/4/20,2020,4,14
Africa,9100,15/4/20,2020,4,15
Africa,9650,16/4/20,2020,4,16
Africa,10150,17/4/20,2020,4,17
Africa,10580,18/4/20,2020,4,18
Africa,11200,19/4/20,2020,4,19
Africa,11590,20/4/20,2020,4,20
Africa,11890,21/4/20,2020,4,21
Africa,12400,22/4/20,2020,4,22
Africa,12970,23/4/20,2020,4,23
Africa,13240,24/4/20,2020,4,24
Africa,13720,25/4/20,2020,4,25
Africa,14220,26/4/20,2020,4,26
Africa,14610,27/4/20,2020,4,27
Africa,15220,28/4/20,2020,4,28
Africa,15880,29/4/20,2020,4,29
Africa,16340,30/4/20,2020,4,30
Africa,16900,1/5/20,2020,5,1
Africa,17590,2/5/20,2020,5,2
Africa,17960,3/5/20,2020,5,3
Africa,18420,4/5/20,2020,5,4
Africa,19060,5/5/20,2020,5,5
Africa,20060,6/5/20,2020,5,6
Africa,20730,7/5/20,2020,5,7
Africa,21540,8/5/20,2020,5,8
Africa,22210,9/5/20,2020,5,9
Africa,22900,10/5/20,2020,5,10
Africa,23440,11/5/20,2020,5,11
Africa,23950,12/5/20,2020,5,12
Africa,24930,13/5/20,2020,5,13
Africa,25620,14/5/20,2020,5,14
Africa,26240,15/5/20,2020,5,15
Africa,27080,16/5/20,2020,5,16
Africa,27580,17/5/20,2020,5,17
Africa,28310,18/5/20,2020,5,18
Africa,29060,19/5/20,2020,5,19
Africa,29900,20/5/20,2020,5,20
Africa,30950,21/5/20,2020,5,21
Africa,31830,22/5/20,2020,5,22
Africa,32550,23/5/20,2020,5,23
Africa,33540,24/5/20,2020,5,24
Africa,34790,25/5/20,2020,5,25
Africa,35910,26/5/20,2020,5,26
Africa,36980,27/5/20,2020,5,27
Africa,37910,28/5/20,2020,5,28
Africa,39220,29/5/20,2020,5,29
Africa,40690,30/5/20,2020,5,30
Africa,42220,31/5/20,2020,5,31
Africa,43430,1/6/20,2020,6,1
Africa,44930,2/6/20,2020,6,2
Africa,46010,3/6/20,2020,6,3
Africa,47560,4/6/20,2020,6,4
Africa,49130,5/6/20,2020,6,5
Africa,50550,6/6/20,2020,6,6
Africa,51880,7/6/20,2020,6,7
Africa,53630,8/6/20,2020,6,8
Africa,55370,9/6/20,2020,6,9
Africa,56880,10/6/20,2020,6,10
Africa,58510,11/6/20,2020,6,11
Africa,60490,12/6/20,2020,6,12
Africa,62530,13/6/20,2020,6,13
Africa,64590,14/6/20,2020,6,14
Africa,67610,15/6/20,2020,6,15
Africa,70150,16/6/20,2020,6,16
Africa,72180,17/6/20,2020,6,17
Africa,74190,18/6/20,2020,6,18
Africa,76820,19/6/20,2020,6,19
Africa,79180,20/6/20,2020,6,20
Africa,81140,21/6/20,2020,6,21
Africa,83380,22/6/20,2020,6,22
Africa,86200,23/6/20,2020,6,23
Africa,88550,24/6/20,2020,6,24
Africa,90690,25/6/20,2020,6,25
Africa,92820,26/6/20,2020,6,26
Africa,94840,27/6/20,2020,6,27
Africa,96630,28/6/20,2020,6,28
Africa,98770,29/6/20,2020,6,29
Africa,101460,30/6/20,2020,6,30
Africa,104040,1/7/20,2020,7,1
Africa,106430,2/7/20,2020,7,2
Africa,108820,3/7/20,2020,7,3
Africa,110830,4/7/20,2020,7,4
Africa,113630,5/7/20,2020,7,5
Africa,116100,6/7/20,2020,7,6
Africa,119750,7/7/20,2020,7,7
Africa,122320,8/7/20,2020,7,8
Africa,124570,9/7/20,2020,7,9
Africa,127630,10/7/20,2020,7,10
Africa,129880,11/7/20,2020,7,11
Africa,132410,12/7/20,2020,7,12
Africa,134630,13/7/20,2020,7,13
Africa,137620,14/7/20,2020,7,14
Africa,139880,15/7/20,2020,7,15
Africa,143560,16/7/20,2020,7,16
Africa,146720,17/7/20,2020,7,17
Africa,149530,18/7/20,2020,7,18
Africa,151690,19/7/20,2020,7,19
Africa,154230,20/7/20,2020,7,20
Africa,157370,21/7/20,2020,7,21
Africa,164450,22/7/20,2020,7,22
Africa,167130,23/7/20,2020,7,23
Africa,171040,24/7/20,2020,7,24
Africa,175210,25/7/20,2020,7,25
Africa,177650,26/7/20,2020,7,26
Africa,181750,27/7/20,2020,7,27
Africa,184970,28/7/20,2020,7,28
Africa,188640,29/7/20,2020,7,29
Africa,193170,30/7/20,2020,7,30
Africa,196800,31/7/20,2020,7,31
Africa,199740,1/8/20,2020,8,1
Africa,203040,2/8/20,2020,8,2
Africa,206260,3/8/20,2020,8,3
Africa,210990,4/8/20,2020,8,4
Africa,216380,5/8/20,2020,8,5
Africa,220690,6/8/20,2020,8,6
Africa,225080,7/8/20,2020,8,7
Africa,229200,8/8/20,2020,8,8
Africa,232790,9/8/20,2020,8,9
Africa,235980,10/8/20,2020,8,10
Africa,238650,11/8/20,2020,8,11
Africa,242740,12/8/20,2020,8,12
Africa,246820,13/8/20,2020,8,13
Africa,250980,14/8/20,2020,8,14
Africa,253380,15/8/20,2020,8,15
Africa,256330,16/8/20,2020,8,16
Africa,258970,17/8/20,2020,8,17
Africa,263120,18/8/20,2020,8,18
Africa,266400,19/8/20,2020,8,19
Africa,269770,20/8/20,2020,8,20
Africa,273290,21/8/20,2020,8,21
Africa,276030,22/8/20,2020,8,22
Africa,277850,23/8/20,2020,8,23
Africa,280050,24/8/20,2020,8,24
Africa,282880,25/8/20,2020,8,25
Africa,286070,26/8/20,2020,8,26
Africa,288600,27/8/20,2020,8,27
Africa,290910,28/8/20,2020,8,28
Africa,294220,29/8/20,2020,8,29
Africa,295860,30/8/20,2020,8,30
Africa,298120,31/8/20,2020,8,31
Africa,300540,1/9/20,2020,9,1
Africa,303190,2/9/20,2020,9,2
Africa,306160,3/9/20,2020,9,3
Africa,308540,4/9/20,2020,9,4
Africa,310790,5/9/20,2020,9,5
Africa,313030,6/9/20,2020,9,6
Africa,315210,7/9/20,2020,9,7
Africa,317470,8/9/20,2020,9,8
Africa,319390,9/9/20,2020,9,9
Africa,321240,10/9/20,2020,9,10
Africa,323550,11/9/20,2020,9,11
Africa,325010,12/9/20,2020,9,12
Africa,326220,13/9/20,2020,9,13
Africa,327930,14/9/20,2020,9,14
Africa,330700,15/9/20,2020,9,15
Africa,332490,16/9/20,2020,9,16
Africa,334280,17/9/20,2020,9,17
Africa,336210,18/9/20,2020,9,18
Africa,338230,19/9/20,2020,9,19
Africa,339560,20/9/20,2020,9,20
Africa,340820,21/9/20,2020,9,21
Africa,343220,22/9/20,2020,9,22
Africa,345310,23/9/20,2020,9,23
Africa,347060,24/9/20,2020,9,24
Africa,348600,25/9/20,2020,9,25
Africa,350280,26/9/20,2020,9,26
Africa,351630,27/9/20,2020,9,27
Africa,354570,28/9/20,2020,9,28
Africa,356740,29/9/20,2020,9,29
Africa,358630,30/9/20,2020,9,30
Africa,360800,1/10/20,2020,10,1
Africa,362290,2/10/20,2020,10,2
Africa,363400,3/10/20,2020,10,3
Africa,365100,4/10/20,2020,10,4
Africa,366380,5/10/20,2020,10,5
Africa,368260,6/10/20,2020,10,6
Africa,370950,7/10/20,2020,10,7
Africa,373930,8/10/20,2020,10,8
Africa,376290,9/10/20,2020,10,9
Africa,379000,10/10/20,2020,10,10
Africa,381080,11/10/20,2020,10,11
Africa,383010,12/10/20,2020,10,12
Africa,385720,13/10/20,2020,10,13
Africa,388350,14/10/20,2020,10,14
Africa,390890,15/10/20,2020,10,15
Africa,392960,16/10/20,2020,10,16
Africa,395610,17/10/20,2020,10,17
Africa,397460,18/10/20,2020,10,18
Africa,399300,19/10/20,2020,10,19
Africa,402280,20/10/20,2020,10,20
Africa,404800,21/10/20,2020,10,21
Africa,406960,22/10/20,2020,10,22
Africa,409200,23/10/20,2020,10,23
Africa,411430,24/10/20,2020,10,24
Africa,412590,25/10/20,2020,10,25
Africa,416070,26/10/20,2020,10,26
Africa,417890,27/10/20,2020,10,27
Africa,421350,28/10/20,2020,10,28
Africa,423370,29/10/20,2020,10,29
Africa,426290,30/10/20,2020,10,30
Africa,428530,31/10/20,2020,10,31
Africa,431750,1/11/20,2020,11,1
Africa,433890,2/11/20,2020,11,2
Africa,437050,3/11/20,2020,11,3
Africa,439400,4/11/20,2020,11,4
Africa,442440,5/11/20,2020,11,5
Africa,444670,6/11/20,2020,11,6
Africa,448450,7/11/20,2020,11,7
Africa,453600,8/11/20,2020,11,8
Africa,456090,9/11/20,2020,11,9
Africa,459500,10/11/20,2020,11,10
Africa,462820,11/11/20,2020,11,11
Africa,465510,12/11/20,2020,11,12
Africa,468310,13/11/20,2020,11,13
Africa,470660,14/11/20,2020,11,14
Africa,473620,15/11/20,2020,11,15
Africa,476410,16/11/20,2020,11,16
Africa,480340,17/11/20,2020,11,17
Africa,484260,18/11/20,2020,11,18
Africa,487020,19/11/20,2020,11,19
Africa,491140,20/11/20,2020,11,20
Africa,494280,21/11/20,2020,11,21
Africa,497180,22/11/20,2020,11,22
Africa,499870,23/11/20,2020,11,23
Africa,503310,24/11/20,2020,11,24
Africa,506460,25/11/20,2020,11,25
Africa,509440,26/11/20,2020,11,26
Africa,512640,27/11/20,2020,11,27
Africa,514990,28/11/20,2020,11,28
Africa,517230,29/11/20,2020,11,29
Africa,519920,30/11/20,2020,11,30
Africa,522500,1/12/20,2020,12,1
Africa,525800,2/12/20,2020,12,2
Africa,528470,3/12/20,2020,12,3
Africa,532770,4/12/20,2020,12,4
Africa,535640,5/12/20,2020,12,5
Africa,538700,6/12/20,2020,12,6
Africa,541180,7/12/20,2020,12,7
Africa,545200,8/12/20,2020,12,8
Africa,548700,9/12/20,2020,12,9
Africa,552640,10/12/20,2020,12,10
Africa,556620,11/12/20,2020,12,11
Africa,559880,12/12/20,2020,12,12
Africa,563340,13/12/20,2020,12,13
Africa,566450,14/12/20,2020,12,14
Africa,570720,15/12/20,2020,12,15
Africa,574180,16/12/20,2020,12,16
Africa,578140,17/12/20,2020,12,17
Africa,583100,18/12/20,2020,12,18
Africa,587590,19/12/20,2020,12,19
Africa,590990,20/12/20,2020,12,20
Africa,595280,21/12/20,2020,12,21
Africa,600570,22/12/20,2020,12,22
Africa,608770,23/12/20,2020,12,23
Africa,614310,24/12/20,2020,12,24
Africa,619550,25/12/20,2020,12,25
Africa,623740,26/12/20,2020,12,26
Africa,628060,27/12/20,2020,12,27
Africa,633510,28/12/20,2020,12,28
Africa,640680,29/12/20,2020,12,29
Africa,647690,30/12/20,2020,12,30
Africa,654680,31/12/20,2020,12,31
Africa,661260,1/1/21,2021,1,1
Africa,666410,2/1/21,2021,1,2
Africa,672460,3/1/21,2021,1,3
Africa,679300,4/1/21,2021,1,4
Africa,687510,5/1/21,2021,1,5
Africa,698610,6/1/21,2021,1,6
Africa,705500,7/1/21,2021,1,7
Africa,714600,8/1/21,2021,1,8
Africa,721170,9/1/21,2021,1,9
Africa,727110,10/1/21,2021,1,10
Africa,733920,11/1/21,2021,1,11
Africa,744670,12/1/21,2021,1,12
Africa,756880,13/1/21,2021,1,13
Africa,767410,14/1/21,2021,1,14
Africa,776460,15/1/21,2021,1,15
Africa,783080,16/1/21,2021,1,16
Africa,789060,17/1/21,2021,1,17
Africa,796320,18/1/21,2021,1,18
Africa,808340,19/1/21,2021,1,19
Africa,817560,20/1/21,2021,1,20
Africa,827820,21/1/21,2021,1,21
Africa,837550,22/1/21,2021,1,22
Africa,845370,23/1/21,2021,1,23
Africa,851840,24/1/21,2021,1,24
Africa,859550,25/1/21,2021,1,25
Africa,869380,26/1/21,2021,1,26
Africa,879890,27/1/21,2021,1,27
Africa,889850,28/1/21,2021,1,28
Africa,898310,29/1/21,2021,1,29
Africa,904450,30/1/21,2021,1,30
Africa,909700,31/1/21,2021,1,31
Africa,914790,1/2/21,2021,2,1
Africa,923630,2/2/21,2021,2,2
Africa,930730,3/2/21,2021,2,3
Africa,936400,4/2/21,2021,2,4
Africa,941870,5/2/21,2021,2,5
Africa,947340,6/2/21,2021,2,6
Africa,950910,7/2/21,2021,2,7
Africa,955350,8/2/21,2021,2,8
Africa,962340,9/2/21,2021,2,9
Africa,967700,10/2/21,2021,2,10
Africa,972650,11/2/21,2021,2,11
Africa,978300,12/2/21,2021,2,12
Africa,981810,13/2/21,2021,2,13
Africa,984750,14/2/21,2021,2,14
Africa,989450,15/2/21,2021,2,15
Africa,994100,16/2/21,2021,2,16
Africa,998120,17/2/21,2021,2,17
Africa,1003250,18/2/21,2021,2,18
Africa,1007090,19/2/21,2021,2,19
Africa,1009990,20/2/21,2021,2,20
Africa,1013360,21/2/21,2021,2,21
Africa,1016710,22/2/21,2021,2,22
Africa,1021420,23/2/21,2021,2,23
Africa,1024680,24/2/21,2021,2,24
Africa,1028250,25/2/21,2021,2,25
Africa,1031420,26/2/21,2021,2,26
Africa,1034810,27/2/21,2021,2,27
Africa,1037060,28/2/21,2021,2,28
Africa,1040210,1/3/21,2021,3,1
Africa,1043840,2/3/21,2021,3,2
Africa,1046600,3/3/21,2021,3,3
Africa,1049910,4/3/21,2021,3,4
Africa,1052160,5/3/21,2021,3,5
Africa,1054810,6/3/21,2021,3,6
Africa,1057120,7/3/21,2021,3,7
Africa,1060910,8/3/21,2021,3,8
Africa,1063800,9/3/21,2021,3,9
Africa,1066810,10/3/21,2021,3,10
Africa,1070040,11/3/21,2021,3,11
Africa,1072320,12/3/21,2021,3,12
Africa,1075260,13/3/21,2021,3,13
Africa,1077770,14/3/21,2021,3,14
Africa,1080860,15/3/21,2021,3,15
Africa,1083940,16/3/21,2021,3,16
Africa,1086710,17/3/21,2021,3,17
Africa,1089320,18/3/21,2021,3,18
Africa,1094770,19/3/21,2021,3,19
Africa,1096740,20/3/21,2021,3,20
Africa,1099030,21/3/21,2021,3,21
Africa,1101630,22/3/21,2021,3,22
Africa,1104850,23/3/21,2021,3,23
Africa,1108050,24/3/21,2021,3,24
Africa,1111930,25/3/21,2021,3,25
Africa,1115350,26/3/21,2021,3,26
Africa,1117280,27/3/21,2021,3,27
Africa,1119110,28/3/21,2021,3,28
Africa,1122250,29/3/21,2021,3,29
Africa,1125020,30/3/21,2021,3,30
Africa,1127550,31/3/21,2021,3,31
Africa,1131650,1/4/21,2021,4,1
Africa,1134110,2/4/21,2021,4,2
Africa,1135790,3/4/21,2021,4,3
Africa,1138510,4/4/21,2021,4,4
Africa,1140810,5/4/21,2021,4,5
Africa,1143170,6/4/21,2021,4,6
Africa,1145840,7/4/21,2021,4,7
Africa,1149350,8/4/21,2021,4,8
Africa,1151980,9/4/21,2021,4,9
Africa,1154210,10/4/21,2021,4,10
Africa,1157100,11/4/21,2021,4,11
Africa,1159700,12/4/21,2021,4,12
Africa,1163770,13/4/21,2021,4,13
Africa,1167450,14/4/21,2021,4,14
Africa,1170590,15/4/21,2021,4,15
Africa,1173660,16/4/21,2021,4,16
Africa,1176460,17/4/21,2021,4,17
Africa,1178980,18/4/21,2021,4,18
Africa,1181970,19/4/21,2021,4,19
Africa,1186080,20/4/21,2021,4,20
Africa,1189190,21/4/21,2021,4,21
Africa,1192250,22/4/21,2021,4,22
Africa,1196030,23/4/21,2021,4,23
Africa,1198400,24/4/21,2021,4,24
Africa,1201310,25/4/21,2021,4,25
Africa,1204270,26/4/21,2021,4,26
Africa,1207930,27/4/21,2021,4,27
Africa,1211330,28/4/21,2021,4,28
Africa,1215290,29/4/21,2021,4,29
Africa,1217820,30/4/21,2021,4,30
Africa,1220660,1/5/21,2021,5,1
Africa,1222970,2/5/21,2021,5,2
Africa,1225540,3/5/21,2021,5,3
Africa,1228890,4/5/21,2021,5,4
Africa,1232330,5/5/21,2021,5,5
Africa,1236160,6/5/21,2021,5,6
Africa,1239050,7/5/21,2021,5,7
Africa,1241370,8/5/21,2021,5,8
Africa,1243940,9/5/21,2021,5,9
Africa,1247450,10/5/21,2021,5,10
Africa,1250590,11/5/21,2021,5,11
Africa,1253650,12/5/21,2021,5,12
Africa,1255950,13/5/21,2021,5,13
Africa,1258460,14/5/21,2021,5,14
Africa,1260860,15/5/21,2021,5,15
Africa,1263090,16/5/21,2021,5,16
Africa,1265670,17/5/21,2021,5,17
Africa,1268890,18/5/21,2021,5,18
Africa,1272440,19/5/21,2021,5,19
Africa,1276140,20/5/21,2021,5,20
Africa,1279860,21/5/21,2021,5,21
Africa,1281950,22/5/21,2021,5,22
Africa,1283960,23/5/21,2021,5,23
Africa,1286760,24/5/21,2021,5,24
Africa,1289550,25/5/21,2021,5,25
Africa,1292590,26/5/21,2021,5,26
Africa,1295490,27/5/21,2021,5,27
Africa,1298490,28/5/21,2021,5,28
Africa,1301020,29/5/21,2021,5,29
Africa,1303030,30/5/21,2021,5,30
Africa,1306340,31/5/21,2021,5,31
Africa,1309540,1/6/21,2021,6,1
Africa,1312650,2/6/21,2021,6,2
Africa,1315160,3/6/21,2021,6,3
Africa,1317940,4/6/21,2021,6,4
Africa,1320520,5/6/21,2021,6,5
Africa,1323000,6/6/21,2021,6,6
Africa,1325780,7/6/21,2021,6,7
Africa,1329920,8/6/21,2021,6,8
Africa,1333560,9/6/21,2021,6,9
Africa,1336740,10/6/21,2021,6,10
Africa,1340540,11/6/21,2021,6,11
Africa,1343870,12/6/21,2021,6,12
Africa,1346590,13/6/21,2021,6,13
Africa,1349950,14/6/21,2021,6,14
Africa,1354700,15/6/21,2021,6,15
Africa,1358870,16/6/21,2021,6,16
Africa,1362700,17/6/21,2021,6,17
Africa,1366610,18/6/21,2021,6,18
Africa,1370780,19/6/21,2021,6,19
Africa,1374580,20/6/21,2021,6,20
Africa,1379470,21/6/21,2021,6,21
Africa,1385820,22/6/21,2021,6,22
Africa,1390880,23/6/21,2021,6,23
Africa,1396350,24/6/21,2021,6,24
Africa,1401630,25/6/21,2021,6,25
Africa,1406550,26/6/21,2021,6,26
Africa,1411030,27/6/21,2021,6,27
Africa,1416330,28/6/21,2021,6,28
Africa,1421540,29/6/21,2021,6,29
Africa,1429350,30/6/21,2021,6,30
Africa,1437280,1/7/21,2021,7,1
Africa,1444110,2/7/21,2021,7,2
Africa,1448990,3/7/21,2021,7,3
Africa,1455250,4/7/21,2021,7,4
Africa,1470380,5/7/21,2021,7,5
Africa,1478720,6/7/21,2021,7,6
Africa,1486860,7/7/21,2021,7,7
Africa,1495960,8/7/21,2021,7,8
Africa,1504700,9/7/21,2021,7,9
Africa,1511600,10/7/21,2021,7,10
Africa,1517690,11/7/21,2021,7,11
Africa,1523970,12/7/21,2021,7,12
Africa,1534820,13/7/21,2021,7,13
Africa,1545410,14/7/21,2021,7,14
Africa,1554420,15/7/21,2021,7,15
Africa,1564460,16/7/21,2021,7,16
Africa,1572190,17/7/21,2021,7,17
Africa,1578930,18/7/21,2021,7,18
Africa,1586160,19/7/21,2021,7,19
Africa,1596640,20/7/21,2021,7,20
Africa,1605900,21/7/21,2021,7,21
Africa,1615830,22/7/21,2021,7,22
Africa,1623820,23/7/21,2021,7,23
Africa,1634560,24/7/21,2021,7,24
Africa,1643410,25/7/21,2021,7,25
Africa,1652390,26/7/21,2021,7,26
Africa,1661000,27/7/21,2021,7,27
Africa,1671110,28/7/21,2021,7,28
Africa,1684010,29/7/21,2021,7,29
Africa,1692010,30/7/21,2021,7,30
Africa,1700680,31/7/21,2021,7,31
Africa,1709880,1/8/21,2021,8,1
Africa,1718590,2/8/21,2021,8,2
Africa,1728640,3/8/21,2021,8,3
Africa,1740000,4/8/21,2021,8,4
Africa,1749040,5/8/21,2021,8,5
Africa,1759250,6/8/21,2021,8,6
Africa,1767060,7/8/21,2021,8,7
Africa,1774210,8/8/21,2021,8,8
Africa,1782330,9/8/21,2021,8,9
Africa,1788610,10/8/21,2021,8,10
Africa,1799790,11/8/21,2021,8,11
Africa,1811230,12/8/21,2021,8,12
Africa,1822250,13/8/21,2021,8,13
Africa,1829350,14/8/21,2021,8,14
Africa,1836530,15/8/21,2021,8,15
Africa,1844300,16/8/21,2021,8,16
Africa,1854900,17/8/21,2021,8,17
Africa,1865110,18/8/21,2021,8,18
Africa,1872670,19/8/21,2021,8,19
Africa,1879680,20/8/21,2021,8,20
Africa,1885980,21/8/21,2021,8,21
Africa,1892460,22/8/21,2021,8,22
Africa,1899580,23/8/21,2021,8,23
Africa,1907780,24/8/21,2021,8,24
Africa,1917760,25/8/21,2021,8,25
Africa,1926280,26/8/21,2021,8,26
Africa,1933920,27/8/21,2021,8,27
Africa,1941540,28/8/21,2021,8,28
Africa,1948300,29/8/21,2021,8,29
Africa,1954990,30/8/21,2021,8,30
Africa,1962780,31/8/21,2021,8,31
Africa,1969170,1/9/21,2021,9,1
Africa,1977630,2/9/21,2021,9,2
Africa,1983790,3/9/21,2021,9,3
Africa,1988930,4/9/21,2021,9,4
Africa,1992680,5/9/21,2021,9,5
Africa,1998060,6/9/21,2021,9,6
Africa,2004200,7/9/21,2021,9,7
Africa,2009280,8/9/21,2021,9,8
Africa,2014920,9/9/21,2021,9,9
Africa,2021090,10/9/21,2021,9,10
Africa,2024960,11/9/21,2021,9,11
Africa,2028790,12/9/21,2021,9,12
Africa,2033160,13/9/21,2021,9,13
Africa,2039240,14/9/21,2021,9,14
Africa,2043610,15/9/21,2021,9,15
Africa,2049420,16/9/21,2021,9,16
Africa,2053860,17/9/21,2021,9,17
Africa,2057720,18/9/21,2021,9,18
Africa,2060210,19/9/21,2021,9,19
Africa,2063380,20/9/21,2021,9,20
Africa,2067440,21/9/21,2021,9,21
Africa,2072230,22/9/21,2021,9,22
Africa,2076880,23/9/21,2021,9,23
Africa,2082400,24/9/21,2021,9,24
Africa,2085280,25/9/21,2021,9,25
Africa,2087610,26/9/21,2021,9,26
Africa,2092100,27/9/21,2021,9,27
Africa,2095980,28/9/21,2021,9,28
Africa,2099310,29/9/21,2021,9,29
Africa,2104070,30/9/21,2021,9,30
Africa,2115990,1/10/21,2021,10,1
Africa,2118090,2/10/21,2021,10,2
Africa,2120460,3/10/21,2021,10,3
Africa,2122490,4/10/21,2021,10,4
Africa,2125750,5/10/21,2021,10,5
Africa,2128860,6/10/21,2021,10,6
Africa,2132120,7/10/21,2021,10,7
Africa,2135310,8/10/21,2021,10,8
Africa,2137080,9/10/21,2021,10,9
Africa,2139360,10/10/21,2021,10,10
Africa,2141400,11/10/21,2021,10,11
Africa,2144020,12/10/21,2021,10,12
Africa,2146670,13/10/21,2021,10,13
Africa,2148540,14/10/21,2021,10,14
Africa,2150860,15/10/21,2021,10,15
Africa,2153150,16/10/21,2021,10,16
Africa,2155090,17/10/21,2021,10,17
Africa,2156690,18/10/21,2021,10,18
Africa,2159090,19/10/21,2021,10,19
Africa,2161540,20/10/21,2021,10,20
Africa,2164030,21/10/21,2021,10,21
Africa,2165890,22/10/21,2021,10,22
Africa,2167840,23/10/21,2021,10,23
Africa,2169360,24/10/21,2021,10,24
Africa,2171220,25/10/21,2021,10,25
Africa,2173390,26/10/21,2021,10,26
Africa,2176210,27/10/21,2021,10,27
Africa,2178200,28/10/21,2021,10,28
Africa,2179870,29/10/21,2021,10,29
Africa,2181090,30/10/21,2021,10,30
Africa,2182440,31/10/21,2021,10,31
Africa,2183950,1/11/21,2021,11,1
Africa,2185790,2/11/21,2021,11,2
Africa,2187700,3/11/21,2021,11,3
Africa,2189650,4/11/21,2021,11,4
Africa,2192010,5/11/21,2021,11,5
Africa,2193640,6/11/21,2021,11,6
Africa,2195060,7/11/21,2021,11,7
Africa,2196510,8/11/21,2021,11,8
Africa,2198210,9/11/21,2021,11,9
Africa,2200440,10/11/21,2021,11,10
Africa,2202330,11/11/21,2021,11,11
Africa,2204030,12/11/21,2021,11,12
Africa,2205340,13/11/21,2021,11,13
Africa,2206160,14/11/21,2021,11,14
Africa,2208240,15/11/21,2021,11,15
Africa,2210160,16/11/21,2021,11,16
Africa,2211730,17/11/21,2021,11,17
Africa,2213470,18/11/21,2021,11,18
Africa,2214770,19/11/21,2021,11,19
Africa,2216030,20/11/21,2021,11,20
Africa,2217320,21/11/21,2021,11,21
Africa,2218690,22/11/21,2021,11,22
Africa,2220580,23/11/21,2021,11,23
Africa,2222250,24/11/21,2021,11,24
Africa,2224870,25/11/21,2021,11,25
Africa,2226080,26/11/21,2021,11,26
Africa,2227290,27/11/21,2021,11,27
Africa,2228010,28/11/21,2021,11,28
Africa,2230250,29/11/21,2021,11,29
Africa,2231680,30/11/21,2021,11,30
Africa,2233650,1/12/21,2021,12,1
Africa,2235170,2/12/21,2021,12,2
Africa,2236660,3/12/21,2021,12,3
Africa,2237640,4/12/21,2021,12,4
Africa,2238460,5/12/21,2021,12,5
Africa,2240470,6/12/21,2021,12,6
Africa,2241750,7/12/21,2021,12,7
Africa,2243350,8/12/21,2021,12,8
Africa,2244720,9/12/21,2021,12,9
Africa,2245910,10/12/21,2021,12,10
Africa,2247450,11/12/21,2021,12,11
Africa,2248550,12/12/21,2021,12,12
Africa,2249640,13/12/21,2021,12,13
Africa,2251630,14/12/21,2021,12,14
Africa,2253220,15/12/21,2021,12,15
Africa,2254670,16/12/21,2021,12,16
Africa,2256030,17/12/21,2021,12,17
Africa,2257420,18/12/21,2021,12,18
Africa,2258350,19/12/21,2021,12,19
Africa,2261300,20/12/21,2021,12,20
Africa,2263020,21/12/21,2021,12,21
Africa,2265320,22/12/21,2021,12,22
Africa,2267240,23/12/21,2021,12,23
Africa,2269140,24/12/21,2021,12,24
Africa,2270830,25/12/21,2021,12,25
Africa,2272300,26/12/21,2021,12,26
Africa,2274790,27/12/21,2021,12,27
Africa,2276750,28/12/21,2021,12,28
